trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
926,False,"{'a': 0.05, 'e': 0.00959391466632307}",20,10,16.849278881549118,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
927,False,"{'a': 0.05, 'e': 0.009545945092991455}",20,9,20.477871238244845,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
928,False,"{'a': 0.05, 'e': 0.009498215367526498}",30,23,15.881233063634992,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
929,False,"{'a': 0.05, 'e': 0.009450724290688864}",20,3,29.091263896488304,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
930,False,"{'a': 0.05, 'e': 0.00940347066923542}",20,14,12.830184203284974,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
931,False,"{'a': 0.05, 'e': 0.009356453315889243}",20,11,17.46241355210764,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
932,False,"{'a': 0.05, 'e': 0.009309671049309796}",20,9,19.83145055943512,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
933,False,"{'a': 0.05, 'e': 0.009263122694063248}",20,7,22.49762285343247,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
934,False,"{'a': 0.05, 'e': 0.009216807080592932}",30,8,39.52112714121147,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
935,False,"{'a': 0.05, 'e': 0.009170723045189967}",25,9,26.948729147046823,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
936,False,"{'a': 0.05, 'e': 0.009124869429964017}",30,18,26.059800787777146,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
937,False,"{'a': 0.05, 'e': 0.009079245082814196}",25,10,28.151541600979108,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
938,False,"{'a': 0.05, 'e': 0.009033848857400125}",25,13,24.95036091436028,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
939,False,"{'a': 0.05, 'e': 0.008988679613113126}",25,18,12.994731990313094,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
940,False,"{'a': 0.05, 'e': 0.008943736215047559}",25,7,18.285301124865132,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
941,False,"{'a': 0.05, 'e': 0.008899017533972322}",20,10,18.28045181631566,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
942,False,"{'a': 0.05, 'e': 0.00885452244630246}",20,12,10.863002700628092,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
943,False,"{'a': 0.05, 'e': 0.008810249834070947}",25,13,22.06757547328065,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
944,False,"{'a': 0.05, 'e': 0.008766198584900593}",35,17,36.96358251348037,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
945,False,"{'a': 0.05, 'e': 0.00872236759197609}",25,14,23.095100564037974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
946,False,"{'a': 0.05, 'e': 0.008678755754016209}",20,4,31.10356307455331,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
947,False,"{'a': 0.05, 'e': 0.008635361975246128}",25,16,18.271293943182798,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
948,False,"{'a': 0.05, 'e': 0.008592185165369897}",35,19,31.078383684367743,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
949,False,"{'a': 0.05, 'e': 0.008549224239543048}",20,14,11.956098261503541,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
950,False,"{'a': 0.05, 'e': 0.008506478118345333}",20,2,34.408777047149954,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
951,False,"{'a': 0.05, 'e': 0.008463945727753606}",35,13,38.97537775038591,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
952,False,"{'a': 0.05, 'e': 0.008421625999114838}",20,6,25.224534955568046,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
953,False,"{'a': 0.05, 'e': 0.008379517869119264}",25,14,21.01528954749768,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
954,False,"{'a': 0.05, 'e': 0.008337620279773668}",20,12,2.4845038081149555,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
955,False,"{'a': 0.05, 'e': 0.008295932178374798}",20,5,27.63299064316434,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
956,False,"{'a': 0.05, 'e': 0.008254452517482925}",30,16,29.01812438259414,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
957,False,"{'a': 0.05, 'e': 0.00821318025489551}",20,6,27.691713857216794,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
